"species","longitude","latitude","year","month","basisOfRecord","coordinateUncertaintyInMeters","country","locality","occurrenceID"
"Capra sibirica",77.077308,43.100013,2025,1,"HUMAN_OBSERVATION",NA,"Kazakhstan",NA,"https://www.inaturalist.org/observations/259019665"
"Capra sibirica",77.999797,32.336638,2025,2,"HUMAN_OBSERVATION",NA,"India",NA,"https://www.inaturalist.org/observations/264321635"
"Capra sibirica",78.0017,32.324578,2025,2,"HUMAN_OBSERVATION",NA,"India",NA,"https://www.inaturalist.org/observations/264339938"
"Capra sibirica",77.999892,32.336127,2025,2,"HUMAN_OBSERVATION",NA,"India",NA,"https://www.inaturalist.org/observations/264321625"
"Capra sibirica",78.003875,32.330142,2025,2,"HUMAN_OBSERVATION",NA,"India",NA,"https://www.inaturalist.org/observations/264311112"
"Capra sibirica",78.002221,32.335864,2025,2,"HUMAN_OBSERVATION",488,"India",NA,"https://www.inaturalist.org/observations/264321620"
"Capra sibirica",78.000925,32.335434,2025,2,"HUMAN_OBSERVATION",488,"India",NA,"https://www.inaturalist.org/observations/264321618"
"Capra sibirica",78.001653,32.324565,2025,2,"HUMAN_OBSERVATION",NA,"India",NA,"https://www.inaturalist.org/observations/264339931"
"Capra sibirica",78.003017,32.325363,2025,2,"HUMAN_OBSERVATION",NA,"India",NA,"https://www.inaturalist.org/observations/264335637"
"Capra sibirica",77.999775,32.336365,2025,2,"HUMAN_OBSERVATION",NA,"India",NA,"https://www.inaturalist.org/observations/264321629"
"Capra sibirica",76.983666,43.07993,2025,3,"HUMAN_OBSERVATION",211,"Kazakhstan",NA,"https://www.inaturalist.org/observations/266590644"
"Capra sibirica",76.986991,43.082875,2025,3,"HUMAN_OBSERVATION",3787,"Kazakhstan",NA,"https://www.inaturalist.org/observations/267158339"
"Capra sibirica",70.142608,41.538178,2025,3,"HUMAN_OBSERVATION",122,"Uzbekistan",NA,"https://www.inaturalist.org/observations/269832370"
"Capra sibirica",74.474463,42.564737,2025,4,"HUMAN_OBSERVATION",122,"Kyrgyzstan",NA,"https://www.inaturalist.org/observations/270134087"
"Capra sibirica",74.509872,42.553282,2025,4,"HUMAN_OBSERVATION",79,"Kyrgyzstan",NA,"https://www.inaturalist.org/observations/272375536"
"Capra sibirica",76.912322,43.057333,2025,5,"HUMAN_OBSERVATION",686,"Kazakhstan",NA,"https://www.inaturalist.org/observations/280454332"
"Capra sibirica",104.035098,43.513275,2025,5,"HUMAN_OBSERVATION",1514,"Mongolia",NA,"https://www.inaturalist.org/observations/289074457"
"Capra sibirica",102.269383,44.543917,2025,5,"HUMAN_OBSERVATION",150,"Mongolia",NA,"https://www.inaturalist.org/observations/308663678"
"Capra sibirica",75.331505,36.815932,2025,6,"HUMAN_OBSERVATION",46,"Pakistan",NA,"https://www.inaturalist.org/observations/292326121"
"Capra sibirica",70.474036,42.401483,2025,6,"HUMAN_OBSERVATION",2491,"Kazakhstan",NA,"https://www.inaturalist.org/observations/292265587"
"Capra sibirica",78.247913,42.187692,2025,6,"HUMAN_OBSERVATION",6,"Kyrgyzstan",NA,"https://www.inaturalist.org/observations/291685759"
"Capra sibirica",104.078792,43.490164,2025,6,"HUMAN_OBSERVATION",NA,"Mongolia",NA,"https://www.inaturalist.org/observations/291319314"
"Capra sibirica",104.081222,43.492106,2025,6,"HUMAN_OBSERVATION",NA,"Mongolia",NA,"https://www.inaturalist.org/observations/291319665"
