"species","longitude","latitude","year","month","basisOfRecord","coordinateUncertaintyInMeters","country","locality","occurrenceID","ID","wc2.1_2.5m_bio_1","wc2.1_2.5m_bio_2","wc2.1_2.5m_bio_3","wc2.1_2.5m_bio_4","wc2.1_2.5m_bio_5","wc2.1_2.5m_bio_6","wc2.1_2.5m_bio_7","wc2.1_2.5m_bio_8","wc2.1_2.5m_bio_9","wc2.1_2.5m_bio_10","wc2.1_2.5m_bio_11","wc2.1_2.5m_bio_12","wc2.1_2.5m_bio_13","wc2.1_2.5m_bio_14","wc2.1_2.5m_bio_15","wc2.1_2.5m_bio_16","wc2.1_2.5m_bio_17","wc2.1_2.5m_bio_18","wc2.1_2.5m_bio_19"
"Capra sibirica",78.637203,31.776672,2024,10,"HUMAN_OBSERVATION",6,"India","Himachal Pradesh","https://observation.org/observation/332273721",75,5.42166662216187,10.2633333206177,32.8573875427246,799.78466796875,20.0960006713867,-11.1400003433228,31.2360000610352,-3.8659999370575,1.51933324337006,14.6246662139893,-5.04333353042603,780,108,21,41.2621231079102,276,100,209,211
"Capra sibirica",76.995618,43.037445,2023,4,"HUMAN_OBSERVATION",45,"Kazakhstan","Karasayskiy","https://observation.org/observation/269801342",82,-4.47249984741211,11.1969995498657,30.693531036377,944.358276367188,13.9160003662109,-22.5639991760254,36.4799995422363,4.4573335647583,-16.0266666412354,6.64266681671143,-16.0266666412354,510,85,11,62.6467933654785,238,40,232,40
"Capra sibirica",104.07245,43.520522,2023,5,"HUMAN_OBSERVATION",6,"Mongolia","Yolin Am - Zuun Saikhanii Nuruu","https://observation.org/observation/276431391",85,1.37933325767517,12.1466665267944,27.0720043182373,1223.34008789062,23.2759990692139,-21.5920009613037,44.8680000305176,16.1353340148926,-13.8406667709351,16.1353340148926,-13.8406667709351,161,44,1,107.028549194336,111,4,111,4
"Capra sibirica",104.069847,43.518678,2023,5,"HUMAN_OBSERVATION",10,"Mongolia","Yolin Am - Zuun Saikhanii Nuruu","https://observation.org/observation/285284506",86,1.37933325767517,12.1466665267944,27.0720043182373,1223.34008789062,23.2759990692139,-21.5920009613037,44.8680000305176,16.1353340148926,-13.8406667709351,16.1353340148926,-13.8406667709351,161,44,1,107.028549194336,111,4,111,4
"Capra sibirica",102.933929,43.666084,2023,5,"HUMAN_OBSERVATION",1000,"Mongolia","Ömnögovi","https://observation.org/observation/299415995",87,4.38983345031738,12.4689998626709,25.9597778320312,1314.55773925781,27.1399993896484,-20.8920001983643,48.0319976806641,19.9500007629395,-12.4806671142578,19.9500007629395,-12.4806671142578,119,33,1,104.622947692871,81,4,81,4
"Capra sibirica",78.992447,42.418636,2022,5,"HUMAN_OBSERVATION",3,"Kyrgyzstan","Ysyk-Köl","https://observation.org/observation/245750404",102,-5.69366645812988,12.8219995498657,33.6464767456055,929.78759765625,12.6119995117188,-25.496000289917,38.1080017089844,5.27600002288818,-17.2959995269775,5.27600002288818,-17.2959995269775,418,75,8,74.1299896240234,211,26,211,26
"Capra sibirica",76.937767,43.047626,2022,5,"HUMAN_OBSERVATION",9,"Kazakhstan","Karasayskiy","https://observation.org/observation/243668457",103,-2.22950005531311,10.628999710083,30.3408317565918,914.259094238281,15.3999996185303,-19.6319999694824,35.0319976806641,6.41866683959961,-13.4233331680298,8.51000022888184,-13.4233331680298,489,80,11,62.0751762390137,228,38,219,38
"Capra sibirica",79.026863,43.526447,2022,5,"HUMAN_OBSERVATION",10,"Kazakhstan","Enbekshikazakhskiy","https://observation.org/observation/243385620",104,8.61733341217041,12.6226663589478,31.3186454772949,965.931091308594,29.6040000915527,-10.6999998092651,40.3040008544922,13.9040002822876,-2.8033332824707,20.8026657104492,-2.8033332824707,438,56,18,35.9483337402344,162,61,136,61
"Capra sibirica",79.011721,43.527736,2022,5,"HUMAN_OBSERVATION",10,"Kazakhstan","Enbekshikazakhskiy","https://observation.org/observation/246073705",105,8.61733341217041,12.6226663589478,31.3186454772949,965.931091308594,29.6040000915527,-10.6999998092651,40.3040008544922,13.9040002822876,-2.8033332824707,20.8026657104492,-2.8033332824707,438,56,18,35.9483337402344,162,61,136,61
"Capra sibirica",104.017464,43.511799,2022,8,"HUMAN_OBSERVATION",7,"Mongolia","Ömnögovi","https://observation.org/observation/256205816",108,1.10450005531311,12.1490001678467,27.0169906616211,1229.23461914062,23.0400009155273,-21.92799949646,44.9680023193359,15.9146671295166,-14.2080001831055,15.9146671295166,-14.2080001831055,162,44,1,107.546813964844,112,4,112,4
"Capra sibirica",104.018692,43.515598,2022,8,"HUMAN_OBSERVATION",8,"Mongolia","Ömnögovi","https://observation.org/observation/256206188",109,1.10450005531311,12.1490001678467,27.0169906616211,1229.23461914062,23.0400009155273,-21.92799949646,44.9680023193359,15.9146671295166,-14.2080001831055,15.9146671295166,-14.2080001831055,162,44,1,107.546813964844,112,4,112,4
"Capra sibirica",104.02639,43.520275,2022,8,"HUMAN_OBSERVATION",3,"Mongolia","Yolin Am - Zuun Saikhanii Nuruu","https://observation.org/observation/254422517",110,1.10450005531311,12.1490001678467,27.0169906616211,1229.23461914062,23.0400009155273,-21.92799949646,44.9680023193359,15.9146671295166,-14.2080001831055,15.9146671295166,-14.2080001831055,162,44,1,107.546813964844,112,4,112,4
"Capra sibirica",104.04,43.5,2019,5,"HUMAN_OBSERVATION",1000,"Mongolia","Ömnögovi","https://observation.org/observation/174005206",123,0.281166821718216,11.9463329315186,26.8215847015381,1224.212890625,22.007999420166,-22.5319995880127,44.5400009155273,14.9973335266113,-13.0426664352417,14.9973335266113,-14.9799995422363,174,46,2,102.175743103027,116,7,116,7
"Capra sibirica",104.05,43.49,2019,5,"HUMAN_OBSERVATION",1000,"Mongolia","Ömnögovi","https://observation.org/observation/174005204",124,0.556833326816559,11.9729995727539,26.9225578308105,1219.17626953125,22.2840003967285,-22.1879997253418,44.4720001220703,15.2279996871948,-14.6180000305176,15.2279996871948,-14.6180000305176,170,46,1,105.33829498291,116,5,116,5
"Capra sibirica",77.106171,34.313042,2017,2,"HUMAN_OBSERVATION",1000,"India","Ladakh","https://observation.org/observation/294501148",150,1.64833331108093,12.3406667709351,31.8485260009766,969.552062988281,20.7399997711182,-18.007999420166,38.7480010986328,-9.66533279418945,-2.58599996566772,13.1840000152588,-10.6173334121704,106,13,3,35.7140808105469,35,14,28,29
"Capra sibirica",104.074608,43.488138,2017,5,"HUMAN_OBSERVATION",25,"Mongolia","Ömnögovi","https://observation.org/observation/141497250",151,0.556833326816559,11.9729995727539,26.9225578308105,1219.17626953125,22.2840003967285,-22.1879997253418,44.4720001220703,15.2279996871948,-14.6180000305176,15.2279996871948,-14.6180000305176,170,46,1,105.33829498291,116,5,116,5
"Capra sibirica",104.051937,43.496317,2017,5,"HUMAN_OBSERVATION",25,"Mongolia","Ömnögovi","https://observation.org/observation/141585955",152,0.556833326816559,11.9729995727539,26.9225578308105,1219.17626953125,22.2840003967285,-22.1879997253418,44.4720001220703,15.2279996871948,-14.6180000305176,15.2279996871948,-14.6180000305176,170,46,1,105.33829498291,116,5,116,5
"Capra sibirica",100.866535,44.704613,2017,5,"HUMAN_OBSERVATION",25,"Mongolia","Bayanhongor","https://observation.org/observation/141823653",153,3.0843334197998,11.9519996643066,25.5231914520264,1294.54248046875,25.5599994659424,-21.2679996490479,46.8279991149902,18.533332824707,-13.4726667404175,18.533332824707,-13.4726667404175,135,43,1,115.609870910645,98,4,98,4
"Capra sibirica",104.02635,43.502422,2017,5,"HUMAN_OBSERVATION",25,"Mongolia","Ömnögovi","https://observation.org/observation/141585952",154,1.10450005531311,12.1490001678467,27.0169906616211,1229.23461914062,23.0400009155273,-21.92799949646,44.9680023193359,15.9146671295166,-14.2080001831055,15.9146671295166,-14.2080001831055,162,44,1,107.546813964844,112,4,112,4
"Capra sibirica",104.099496,43.481803,2017,5,"HUMAN_OBSERVATION",1000,"Mongolia","Ömnögovi","https://observation.org/observation/141517112",155,0.71916663646698,12.0023336410522,27.0908584594727,1209.3837890625,22.3799991607666,-21.923999786377,44.3040008544922,15.3093328475952,-14.2933330535889,15.3093328475952,-14.2933330535889,173,46,1,105.663261413574,118,4,118,4
"Capra sibirica",74.511881,42.550554,2016,5,"HUMAN_OBSERVATION",25,"Kyrgyzstan","Ala-Archa NP","https://observation.org/observation/118455967",164,-5.05749988555908,12.8649997711182,32.5399627685547,995.129516601562,14.967999458313,-24.568000793457,39.5359992980957,4.18800020217896,-17.300666809082,6.23466682434082,-17.300666809082,571,88,18,51.1799774169922,253,63,215,63
"Capra sibirica",104.0251,43.5192,2016,5,"HUMAN_OBSERVATION",10,"Mongolia","Ömnögovi","https://observation.org/observation/119631967",165,1.10450005531311,12.1490001678467,27.0169906616211,1229.23461914062,23.0400009155273,-21.92799949646,44.9680023193359,15.9146671295166,-14.2080001831055,15.9146671295166,-14.2080001831055,162,44,1,107.546813964844,112,4,112,4
"Capra sibirica",103.46855,43.660918,2016,9,"HUMAN_OBSERVATION",1000,"Mongolia","Ömnögovi","https://observation.org/observation/205555451",169,3.16533327102661,13.0946664810181,27.5816555023193,1286.37451171875,25.7399997711182,-21.7360000610352,47.4759979248047,18.4540004730225,-13.2066669464111,18.4540004730225,-13.2066669464111,139,36,2,99.2269134521484,92,6,92,6
"Capra sibirica",77.158481,34.311457,2015,5,"HUMAN_OBSERVATION",25,"India","Jammu and Kashmir","https://observation.org/observation/113511673",171,0.958666682243347,12.1873331069946,31.5668601989746,969.327087402344,20.0279998779297,-18.5799999237061,38.6080017089844,12.2519998550415,-3.22000002861023,12.5013332366943,-11.275333404541,102,13,3,35.7669486999512,35,14,29,27
