"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","sex","lifeStage","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","isInCluster","datasetName","recordedBy","identifiedBy","dnaSequenceID","geodeticDatum","class","countryCode","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier","http://unknown.org/nick","verbatimEventDate","dynamicProperties","collectionCode","gbifID","verbatimLocality","occurrenceID","taxonID","http://unknown.org/captive_cultivated","catalogNumber","institutionCode","vitality","eventTime","identificationID","coordinateUncertaintyInMeters","occurrenceRemarks","informationWithheld","networkKeys","projectId","organismQuantity","organismQuantityType","sampleSizeUnit","sampleSizeValue","samplingProtocol","eventID","habitat","locationID","samplingEffort","parentEventID","individualCount","vernacularName","locality","identificationVerificationStatus","eventType","identificationRemarks","organismName","higherClassification","dataGeneralizations","organismRemarks","georeferencedBy","georeferenceProtocol","associatedReferences","language","type","institutionKey","higherGeography","collectionKey","datasetID","preparations","recordNumber","georeferencedDate","fieldNumber","locationRemarks","organismID","accessRights","collectionID","georeferenceSources","otherCatalogNumbers","institutionID","georeferenceRemarks","municipality","county","elevation","footprintWKT","verbatimIdentification","footprintSRS","taxonConceptID","bibliographicCitation","name","eventRemarks","coordinatePrecision","nomenclaturalCode","georeferenceVerificationStatus","verbatimCoordinateSystem","higherGeographyID","disposition","ownerInstitutionCode"
"5063146822","Capra sibirica (Pallas, 1776)",43.100013,77.077308,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-11-01T13:51:18.958+00:00","2025-11-04T14:51:10.749+00:00",565,"HUMAN_OBSERVATION","PRESENT","Male","Adult",2441052,1,44,359,731,9614,2441047,2441052,2441052,"Capra sibirica (Pallas, 1776)","Animalia","Chordata","Artiodactyla","Bovidae","Capra","Capra sibirica","Capra","sibirica","SPECIES","ACCEPTED","NT","2025-01-20T03:15:26","ASIA","Almaty",2025,1,19,"2025-01-19T08:28",19,19,"2025-02-17T10:30:20.000+00:00","2025-11-04T14:51:10.749+00:00","https://www.inaturalist.org/observations/259019665","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"iNaturalist research-grade observations","nkanunnikov","nkanunnikov","list()","WGS84","Mammalia","KZ","EUROPE","Kazakhstan","NORTH_AMERICA","nkanunnikov","259019665","nkanunnikov","2025/01/19 08:28","{""evidenceOfPresence"":""organism""}","Observations","5063146822","Медеуский район, Алматы, Казахстан","https://www.inaturalist.org/observations/259019665","42351","wild","259019665","iNaturalist","alive","08:28:00+05:00","584922244",NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Capra sibirica (Pallas, 1776)",NA,NA,NA,NA,NA,NA,NA,NA
"5087512202","Capra sibirica (Pallas, 1776)",32.336638,77.999797,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-11-01T13:51:18.958+00:00","2025-11-04T14:47:45.110+00:00",565,"HUMAN_OBSERVATION","PRESENT","Female","Adult",2441052,1,44,359,731,9614,2441047,2441052,2441052,"Capra sibirica (Pallas, 1776)","Animalia","Chordata","Artiodactyla","Bovidae","Capra","Capra sibirica","Capra","sibirica","SPECIES","ACCEPTED","NT","2025-03-07T20:11:07","ASIA","Himachal Pradesh",2025,2,22,"2025-02-22T08:45",53,53,"2025-03-08T08:18:57.000+00:00","2025-11-04T14:47:45.110+00:00","https://www.inaturalist.org/observations/264321635","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"iNaturalist research-grade observations","Biray PINAR","Filipe Afonso","list()","WGS84","Mammalia","IN","ASIA","India","NORTH_AMERICA","Biray PINAR","264321635","biray_p","2025/02/22 8:45 AM","{""evidenceOfPresence"":""organism""}","Observations","5087512202","Chicham Khas, Himachal Pradesh 172114, India","https://www.inaturalist.org/observations/264321635","42351","wild","264321635","iNaturalist","alive","08:45:00+05:30","599167722",NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Capra sibirica (Pallas, 1776)",NA,NA,NA,NA,NA,NA,NA,NA
"5087512251","Capra sibirica (Pallas, 1776)",32.324578,78.0017,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-11-01T13:51:18.958+00:00","2025-11-04T14:45:12.131+00:00",565,"HUMAN_OBSERVATION","PRESENT","Male","Adult",2441052,1,44,359,731,9614,2441047,2441052,2441052,"Capra sibirica (Pallas, 1776)","Animalia","Chordata","Artiodactyla","Bovidae","Capra","Capra sibirica","Capra","sibirica","SPECIES","ACCEPTED","NT","2025-03-07T17:25:56","ASIA","Himachal Pradesh",2025,2,25,"2025-02-25T14:15",56,56,"2025-03-16T18:31:25.000+00:00","2025-11-04T14:45:12.131+00:00","https://www.inaturalist.org/observations/264339938","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"iNaturalist research-grade observations","Biray PINAR","Biray PINAR","list()","WGS84","Mammalia","IN","ASIA","India","NORTH_AMERICA","Biray PINAR","264339938","biray_p","2025/02/25 2:15 PM","{""evidenceOfPresence"":""organism""}","Observations","5087512251","Chicham Khas, Himachal Pradesh 172114, India","https://www.inaturalist.org/observations/264339938","42351","wild","264339938","iNaturalist","alive","14:15:00+05:30","599107496",NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Capra sibirica (Pallas, 1776)",NA,NA,NA,NA,NA,NA,NA,NA
"5087528222","Capra sibirica (Pallas, 1776)",32.336127,77.999892,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-11-01T13:51:18.958+00:00","2025-11-04T14:50:02.834+00:00",565,"HUMAN_OBSERVATION","PRESENT","Male","Adult",2441052,1,44,359,731,9614,2441047,2441052,2441052,"Capra sibirica (Pallas, 1776)","Animalia","Chordata","Artiodactyla","Bovidae","Capra","Capra sibirica","Capra","sibirica","SPECIES","ACCEPTED","NT","2025-03-07T16:07:11","ASIA","Himachal Pradesh",2025,2,22,"2025-02-22T08:41",53,53,"2025-03-08T08:19:28.000+00:00","2025-11-04T14:50:02.834+00:00","https://www.inaturalist.org/observations/264321625","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"iNaturalist research-grade observations","Biray PINAR","Biray PINAR","list()","WGS84","Mammalia","IN","ASIA","India","NORTH_AMERICA","Biray PINAR","264321625","biray_p","2025/02/22 8:41 AM","{""evidenceOfPresence"":""organism""}","Observations","5087528222","Chicham Khas, Himachal Pradesh 172114, India","https://www.inaturalist.org/observations/264321625","42351","wild","264321625","iNaturalist","alive","08:41:00+05:30","599078046",NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Capra sibirica (Pallas, 1776)",NA,NA,NA,NA,NA,NA,NA,NA
"5087529150","Capra sibirica (Pallas, 1776)",32.330142,78.003875,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-11-01T13:51:18.958+00:00","2025-11-04T14:47:26.867+00:00",565,"HUMAN_OBSERVATION","PRESENT",NA,"Adult",2441052,1,44,359,731,9614,2441047,2441052,2441052,"Capra sibirica (Pallas, 1776)","Animalia","Chordata","Artiodactyla","Bovidae","Capra","Capra sibirica","Capra","sibirica","SPECIES","ACCEPTED","NT","2025-03-07T15:24:31","ASIA","Himachal Pradesh",2025,2,21,"2025-02-21T14:53",52,52,"2025-03-07T20:13:59.000+00:00","2025-11-04T14:47:26.867+00:00","https://www.inaturalist.org/observations/264311112","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"iNaturalist research-grade observations","Biray PINAR","Biray PINAR","list()","WGS84","Mammalia","IN","ASIA","India","NORTH_AMERICA","Biray PINAR","264311112","biray_p","2025/02/21 2:53 PM","{""evidenceOfPresence"":""organism""}","Observations","5087529150","Chicham Khas, Himachal Pradesh 172114, India","https://www.inaturalist.org/observations/264311112","42351","wild","264311112","iNaturalist","alive","14:53:00+05:30","599061245",NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Capra sibirica (Pallas, 1776)",NA,NA,NA,NA,NA,NA,NA,NA
"5087538119","Capra sibirica (Pallas, 1776)",32.335864,78.002221,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-11-01T13:51:18.958+00:00","2025-11-04T14:51:23.131+00:00",565,"HUMAN_OBSERVATION","PRESENT","Female","Adult",2441052,1,44,359,731,9614,2441047,2441052,2441052,"Capra sibirica (Pallas, 1776)","Animalia","Chordata","Artiodactyla","Bovidae","Capra","Capra sibirica","Capra","sibirica","SPECIES","ACCEPTED","NT","2025-03-07T16:07:10","ASIA","Himachal Pradesh",2025,2,22,"2025-02-22T08:40",53,53,"2025-03-08T08:19:39.000+00:00","2025-11-04T14:51:23.131+00:00","https://www.inaturalist.org/observations/264321620","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"iNaturalist research-grade observations","Biray PINAR","Biray PINAR","list()","WGS84","Mammalia","IN","ASIA","India","NORTH_AMERICA","Biray PINAR","264321620","biray_p","2025/02/22 8:40 AM","{""evidenceOfPresence"":""organism""}","Observations","5087538119","Chicham Khas, Himachal Pradesh 172114, India","https://www.inaturalist.org/observations/264321620","42351","wild","264321620","iNaturalist","alive","08:40:00+05:30","599078040",488,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Capra sibirica (Pallas, 1776)",NA,NA,NA,NA,NA,NA,NA,NA
"5087569215","Capra sibirica (Pallas, 1776)",32.335434,78.000925,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-11-01T13:51:18.958+00:00","2025-11-04T14:43:40.871+00:00",565,"HUMAN_OBSERVATION","PRESENT",NA,"Adult",2441052,1,44,359,731,9614,2441047,2441052,2441052,"Capra sibirica (Pallas, 1776)","Animalia","Chordata","Artiodactyla","Bovidae","Capra","Capra sibirica","Capra","sibirica","SPECIES","ACCEPTED","NT","2025-03-07T16:07:10","ASIA","Himachal Pradesh",2025,2,22,"2025-02-22T08:04",53,53,"2025-03-08T08:19:55.000+00:00","2025-11-04T14:43:40.871+00:00","https://www.inaturalist.org/observations/264321618","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"iNaturalist research-grade observations","Biray PINAR","Biray PINAR","list()","WGS84","Mammalia","IN","ASIA","India","NORTH_AMERICA","Biray PINAR","264321618","biray_p","2025/02/22 8:04 AM","{""evidenceOfPresence"":""organism""}","Observations","5087569215","Chicham Khas, Himachal Pradesh 172114, India","https://www.inaturalist.org/observations/264321618","42351","wild","264321618","iNaturalist","alive","08:04:00+05:30","599078035",488,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Capra sibirica (Pallas, 1776)",NA,NA,NA,NA,NA,NA,NA,NA
"5087617187","Capra sibirica (Pallas, 1776)",32.324565,78.001653,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-11-01T13:51:18.958+00:00","2025-11-04T14:46:06.135+00:00",565,"HUMAN_OBSERVATION","PRESENT","Male","Adult",2441052,1,44,359,731,9614,2441047,2441052,2441052,"Capra sibirica (Pallas, 1776)","Animalia","Chordata","Artiodactyla","Bovidae","Capra","Capra sibirica","Capra","sibirica","SPECIES","ACCEPTED","NT","2025-03-07T17:25:56","ASIA","Himachal Pradesh",2025,2,25,"2025-02-25T14:15",56,56,"2025-03-16T18:31:28.000+00:00","2025-11-04T14:46:06.135+00:00","https://www.inaturalist.org/observations/264339931","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"iNaturalist research-grade observations","Biray PINAR","Biray PINAR","list()","WGS84","Mammalia","IN","ASIA","India","NORTH_AMERICA","Biray PINAR","264339931","biray_p","2025/02/25 2:15 PM","{""evidenceOfPresence"":""organism""}","Observations","5087617187","Chicham Khas, Himachal Pradesh 172114, India","https://www.inaturalist.org/observations/264339931","42351","wild","264339931","iNaturalist","alive","14:15:00+05:30","599107487",NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Capra sibirica (Pallas, 1776)",NA,NA,NA,NA,NA,NA,NA,NA
"5087640329","Capra sibirica (Pallas, 1776)",32.325363,78.003017,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-11-01T13:51:18.958+00:00","2025-11-04T14:41:10.774+00:00",565,"HUMAN_OBSERVATION","PRESENT",NA,NA,2441052,1,44,359,731,9614,2441047,2441052,2441052,"Capra sibirica (Pallas, 1776)","Animalia","Chordata","Artiodactyla","Bovidae","Capra","Capra sibirica","Capra","sibirica","SPECIES","ACCEPTED","NT","2025-03-07T17:07:33","ASIA","Himachal Pradesh",2025,2,24,"2025-02-24T07:28",55,55,"2025-03-08T08:18:37.000+00:00","2025-11-04T14:41:10.774+00:00","https://www.inaturalist.org/observations/264335637","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"iNaturalist research-grade observations","Biray PINAR","Biray PINAR","list()","WGS84","Mammalia","IN","ASIA","India","NORTH_AMERICA","Biray PINAR","264335637","biray_p","2025/02/24 7:28 AM","{""evidenceOfPresence"":""organism""}","Observations","5087640329","Chicham Khas, Himachal Pradesh 172114, India","https://www.inaturalist.org/observations/264335637","42351","wild","264335637","iNaturalist","alive","07:28:00+05:30","599100545",NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Capra sibirica (Pallas, 1776)",NA,NA,NA,NA,NA,NA,NA,NA
"5087731233","Capra sibirica (Pallas, 1776)",32.336365,77.999775,"cdc","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-11-01T13:51:18.958+00:00","2025-11-04T14:52:23.207+00:00",565,"HUMAN_OBSERVATION","PRESENT","Female","Adult",2441052,1,44,359,731,9614,2441047,2441052,2441052,"Capra sibirica (Pallas, 1776)","Animalia","Chordata","Artiodactyla","Bovidae","Capra","Capra sibirica","Capra","sibirica","SPECIES","ACCEPTED","NT","2025-03-07T20:11:16","ASIA","Himachal Pradesh",2025,2,22,"2025-02-22T08:43",53,53,"2025-03-08T08:19:14.000+00:00","2025-11-04T14:52:23.207+00:00","https://www.inaturalist.org/observations/264321629","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"iNaturalist research-grade observations","Biray PINAR","Filipe Afonso","list()","WGS84","Mammalia","IN","ASIA","India","NORTH_AMERICA","Biray PINAR","264321629","biray_p","2025/02/22 8:43 AM","{""evidenceOfPresence"":""organism""}","Observations","5087731233","Lahul & Spiti, Himachal Pradesh, India","https://www.inaturalist.org/observations/264321629","42351","wild","264321629","iNaturalist","alive","08:43:00+05:30","599167777",NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Capra sibirica (Pallas, 1776)",NA,NA,NA,NA,NA,NA,NA,NA
