x,y,species cloglog values
1.0,1.0,1.15463195E-14
2.0,2.0,0.0013285108
3.0,3.0,5.878589E-7
4.0,4.0,0.47439522
5.0,5.0,0.016111143
6.0,6.0,0.0021553228
7.0,7.0,2.3654834E-10
8.0,8.0,0.557513
9.0,9.0,2.3891333E-11
10.0,10.0,0.36548728
11.0,11.0,0.045458157
12.0,12.0,7.435229E-8
13.0,13.0,1.6539747E-10
14.0,14.0,0.34563386
15.0,15.0,0.016873846
16.0,16.0,0.93746233
17.0,17.0,3.313194E-6
18.0,18.0,5.977925E-7
19.0,19.0,0.01275203
20.0,20.0,0.018262306
21.0,21.0,0.0072500105
22.0,22.0,5.594541E-4
23.0,23.0,0.17263676
24.0,24.0,3.519407E-14
25.0,25.0,1.0693011E-5
26.0,26.0,0.16577679
27.0,27.0,0.36690667
28.0,28.0,0.028632179
29.0,29.0,1.08690834E-13
30.0,30.0,3.7435433E-7
31.0,31.0,0.41041923
32.0,32.0,6.0803584E-12
33.0,33.0,3.3172997E-4
34.0,34.0,0.008703297
35.0,35.0,4.260208E-6
36.0,36.0,3.0920246E-6
37.0,37.0,0.024703937
38.0,38.0,0.098570965
39.0,39.0,0.0024786855
40.0,40.0,0.005481667
41.0,41.0,0.4748507
42.0,42.0,0.022676717
43.0,43.0,0.0038575698
44.0,44.0,0.02349974
45.0,45.0,0.025299516
46.0,46.0,9.531328E-10
47.0,47.0,0.012309278
48.0,48.0,0.0046174866
49.0,49.0,0.3603767
50.0,50.0,0.0012357387
51.0,51.0,1.3864112E-4
52.0,52.0,2.026396E-6
53.0,53.0,4.702447E-7
54.0,54.0,0.009828169
55.0,55.0,0.8688318
56.0,56.0,1.10733644E-11
57.0,57.0,0.013113431
58.0,58.0,0.0043167807
59.0,59.0,3.330669E-16
60.0,60.0,6.40225E-5
61.0,61.0,4.7974263E-6
62.0,62.0,1.8655614E-4
63.0,63.0,1.01030295E-14
64.0,64.0,0.011980401
65.0,65.0,0.0012656207
66.0,66.0,0.026291868
67.0,67.0,0.57121533
68.0,68.0,6.5093486E-12
69.0,69.0,0.023475
70.0,70.0,4.3828917E-5
71.0,71.0,0.06493342
72.0,72.0,1.3637858E-10
73.0,73.0,5.077442E-4
74.0,74.0,1.1191048E-13
75.0,75.0,2.5011564E-4
76.0,76.0,2.8387422E-4
77.0,77.0,0.14313193
78.0,78.0,0.0024622153
79.0,79.0,3.6208703E-11
80.0,80.0,0.0138398865
81.0,81.0,0.006909064
82.0,82.0,4.669598E-13
83.0,83.0,0.08866937
84.0,84.0,1.378897E-13
85.0,85.0,5.4346654E-4
86.0,86.0,7.594587E-5
87.0,87.0,0.3626353
88.0,88.0,7.193235E-11
89.0,89.0,0.665589
90.0,90.0,0.030009024
91.0,91.0,0.010119285
92.0,92.0,0.016339712
93.0,93.0,1.7497448E-11
94.0,94.0,8.308008E-4
95.0,95.0,2.0098614E-7
96.0,96.0,0.21393898
97.0,97.0,0.088613495
98.0,98.0,0.45334104
99.0,99.0,5.664517E-7
100.0,100.0,0.22398789
101.0,101.0,1.0805801E-11
102.0,102.0,0.078492574
103.0,103.0,1.8964425E-5
104.0,104.0,0.08179451
105.0,105.0,1.5314655E-4
106.0,106.0,8.361392E-5
107.0,107.0,1.27832E-5
108.0,108.0,0.87801224
109.0,109.0,1.220937E-7
110.0,110.0,0.014660947
111.0,111.0,4.7529647E-11
112.0,112.0,0.14338318
113.0,113.0,0.13584577
114.0,114.0,6.09269E-4
115.0,115.0,0.07111901
116.0,116.0,3.762435E-12
117.0,117.0,1.5765167E-13
118.0,118.0,0.02405309
119.0,119.0,1.7177406E-6
120.0,120.0,0.0042302855
121.0,121.0,0.010416979
122.0,122.0,0.0019459481
123.0,123.0,9.6700425E-14
124.0,124.0,0.010091838
125.0,125.0,1.6823755E-5
126.0,126.0,3.6628536E-4
127.0,127.0,1.5894094E-6
128.0,128.0,0.0030052664
129.0,129.0,0.0017132893
130.0,130.0,0.0031762624
131.0,131.0,2.3370195E-13
132.0,132.0,0.43168584
133.0,133.0,7.027712E-13
134.0,134.0,0.042929
135.0,135.0,0.01154431
136.0,136.0,8.326673E-14
137.0,137.0,3.534438E-4
138.0,138.0,1.9906299E-13
139.0,139.0,1.7183685E-6
140.0,140.0,1.1346479E-13
141.0,141.0,0.28736395
142.0,142.0,0.015041673
143.0,143.0,3.7073464E-6
144.0,144.0,6.506334E-5
145.0,145.0,8.6741725E-13
146.0,146.0,2.360803E-4
147.0,147.0,2.8199865E-4
148.0,148.0,0.23147562
149.0,149.0,0.055242028
150.0,150.0,6.831448E-7
151.0,151.0,0.029924173
152.0,152.0,0.021055803
153.0,153.0,9.557811E-10
154.0,154.0,0.043238252
155.0,155.0,0.010192297
156.0,156.0,0.0016453259
157.0,157.0,0.13521385
158.0,158.0,0.35015476
159.0,159.0,0.017003272
160.0,160.0,1.8740883E-6
161.0,161.0,0.14200646
162.0,162.0,0.57821405
163.0,163.0,0.34904557
164.0,164.0,0.008453999
165.0,165.0,1.5765167E-14
166.0,166.0,3.3356864E-5
167.0,167.0,1.6784019E-10
168.0,168.0,8.044732E-7
169.0,169.0,1.4257928E-10
170.0,170.0,9.4350666E-4
171.0,171.0,6.661338E-16
172.0,172.0,0.0752703
173.0,173.0,2.0317081E-14
174.0,174.0,0.06488627
175.0,175.0,1.4006574E-12
176.0,176.0,1.0716981E-5
177.0,177.0,0.0064589065
178.0,178.0,0.04088133
179.0,179.0,0.071089
180.0,180.0,0.0095105
181.0,181.0,0.017827949
182.0,182.0,2.6312286E-14
183.0,183.0,0.05394832
184.0,184.0,0.0
185.0,185.0,7.771561E-16
186.0,186.0,0.017645698
187.0,187.0,1.6320278E-14
188.0,188.0,3.952394E-14
189.0,189.0,4.4991233E-11
190.0,190.0,0.051165637
191.0,191.0,0.020354448
192.0,192.0,0.033197347
193.0,193.0,3.4416914E-15
194.0,194.0,2.8546054E-11
195.0,195.0,9.769963E-15
196.0,196.0,0.004239794
197.0,197.0,0.10391051
198.0,198.0,0.041089144
199.0,199.0,0.64212936
200.0,200.0,3.096772E-5
201.0,201.0,5.806753E-8
202.0,202.0,0.0015447367
203.0,203.0,0.011545319
204.0,204.0,0.024590107
205.0,205.0,0.017542757
206.0,206.0,0.8469842
207.0,207.0,0.13919882
208.0,208.0,1.0558221E-13
209.0,209.0,0.009325152
210.0,210.0,5.869749E-13
211.0,211.0,0.038724445
212.0,212.0,2.220446E-16
213.0,213.0,0.15324977
214.0,214.0,0.09174793
215.0,215.0,0.54263604
216.0,216.0,0.19524162
217.0,217.0,0.13517444
218.0,218.0,0.999489
219.0,219.0,0.01603014
220.0,220.0,9.652701E-11
221.0,221.0,0.002250151
222.0,222.0,0.018573435
223.0,223.0,1.0081072E-5
224.0,224.0,2.4302825E-4
225.0,225.0,0.04200444
226.0,226.0,0.024991022
227.0,227.0,0.0034092152
228.0,228.0,0.009944334
229.0,229.0,1.1979306E-13
230.0,230.0,0.0060968776
