Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.33763E-13,0.000000001,0,0.81760379,0,0
3.18242E-13,0.000000003,0,0.808627353,0,0
1.65724E-12,0.00000001,0.000000002,0.797032789,0,0
4.06364E-12,0.000000025,0.000000004,0.789926443,0,0
1.62966E-11,0.000000101,0.000000016,0.779329261,0,0
4.1335E-11,0.000000253,0.00000004,0.772596933,0,0
1.39258E-10,0.000001007,0.000000136,0.760753023,0,0
2.98034E-10,0.00000252,0.000000291,0.752275277,0,0
7.34657E-10,0.000010033,0.000000716,0.733823713,0,0
1.62443E-9,0.000025104,0.000001584,0.716743548,0,0
3.03047E-9,0.000050032,0.000002955,0.703029547,0,0
5.4933E-9,0.000100062,0.000005357,0.688193492,0,0
1.21426E-8,0.000251077,0.000011841,0.665877073,0,0
2.23824E-8,0.000500332,0.000021826,0.647300835,0,0
5.01855E-8,0.001002413,0.000048938,0.628599925,0,0
1.18913E-7,0.002503438,0.000115952,0.605784815,0,0
2.36325E-7,0.005010605,0.000230427,0.587457923,0,0
4.56277E-7,0.010044362,0.000444843,0.568757013,0,0
9.21599E-7,0.025004266,0.000898299,0.540705648,0,0
1.63467E-6,0.050012349,0.001592792,0.515646428,0,0
2.95607E-6,0.100140086,0.002878479,0.487719736,0,0
4.82197E-6,0.200062478,0.004691144,0.455055479,0,0
6.66591E-6,0.300035619,0.006479228,0.433362424,0,0
8.12693E-6,0.400551369,0.00789371,0.416406932,0,0
9.52075E-6,0.500268106,0.009241258,0.402443586,0,0
1.08972E-5,0.600502014,0.01057025,0.390225658,0,0
1.21984E-5,0.700040109,0.011824905,0.379503803,0,0
1.28086E-5,0.751188749,0.01241269,0.37439222,0,0
1.34975E-5,0.801269493,0.01307591,0.369654657,0,0
1.48572E-5,0.90052336,0.014383682,0.360927565,0,0
1.6133E-5,1.000963583,0.015609137,0.352823837,0,0
1.74514E-5,1.100284983,0.016873846,0.345468146,0,0
1.89007E-5,1.200918943,0.018262305,0.338611146,0,0
2.03107E-5,1.301046005,0.019611299,0.332252836,0,0
2.17088E-5,1.400047789,0.020947026,0.326393218,0,0
2.28822E-5,1.50013556,0.022066603,0.320782945,0,0
2.57427E-5,1.751572228,0.024790741,0.307941653,0,0
2.84338E-5,2.000562703,0.027346579,0.296471762,0,0
3.09611E-5,2.250299184,0.029740664,0.285999252,0,0
3.36561E-5,2.501912211,0.032287285,0.276274779,0,0
3.6748E-5,2.752773817,0.035200595,0.267423015,0,0
3.92466E-5,3.000019184,0.037548524,0.259319287,0,0
4.23902E-5,3.252747813,0.040494406,0.251589577,0,0
4.51643E-5,3.501857566,0.043086488,0.244483232,0,0
4.89831E-5,3.754688609,0.046643362,0.237750904,0,0
5.1419E-5,4.000607808,0.048905242,0.23164194,0,0
5.38591E-5,4.254087742,0.051165638,0.225657649,0,0
5.67193E-5,4.502693397,0.053808418,0.220047376,0,0
5.95438E-5,4.751874908,0.056410956,0.214686448,0.038461538,0
6.25318E-5,5.001995399,0.059156393,0.209574866,0.038461538,0
6.44291E-5,5.256122899,0.060895498,0.204587957,0.038461538,0
6.7229E-5,5.500809371,0.063456033,0.199975065,0.038461538,0
7.01879E-5,5.754393572,0.066154442,0.195362174,0.038461538,0
7.2746E-5,6.004729726,0.06848106,0.190998629,0.038461538,0
7.58392E-5,6.25727871,0.071286582,0.186759756,0.038461538,0
7.95067E-5,6.506515088,0.074602089,0.182770228,0.038461538,0
8.25852E-5,6.757872442,0.077376032,0.178905373,0.038461538,0
8.48923E-5,7.000545749,0.079449442,0.175289864,0.038461538,0
8.83517E-5,7.251355648,0.082549564,0.171674355,0.038461538,0
9.06694E-5,7.502697482,0.084620831,0.168183518,0.038461538,0
9.42103E-5,7.752866776,0.087776094,0.164817354,0.038461538,0
9.83174E-5,8.003384998,0.091422322,0.161575863,0.038461538,0
1.01601E-4,8.253419043,0.094326905,0.158459045,0.038461538,0
1.05952E-4,8.502718774,0.098161262,0.155466899,0.038461538,0
1.09879E-4,8.751089204,0.101608789,0.152599427,0.038461538,0
1.13467E-4,9.008584441,0.104746082,0.149731954,0.038461538,0
1.16789E-4,9.250645789,0.107642108,0.147113826,0.038461538,0
1.2055E-4,9.511180781,0.110908648,0.144371026,0.038461538,0
1.24014E-4,9.755643139,0.113906754,0.141877571,0.038461538,0
1.28677E-4,10.008903658,0.117926787,0.139384117,0.038461538,0
1.32699E-4,10.257529973,0.121379641,0.137015335,0.038461538,0
1.38114E-4,10.501082515,0.126006516,0.134771226,0.038461538,0
1.42403E-4,10.753835437,0.129654599,0.132527116,0.038461538,0
1.46253E-4,11.013366462,0.132915918,0.130283007,0.038461538,0
1.4989E-4,11.264765665,0.135985617,0.128163571,0.038461538,0
1.52256E-4,11.507069137,0.137977088,0.126168807,0.038461538,0
1.57706E-4,11.755435739,0.142546087,0.124174043,0.038461538,0
1.62161E-4,12.011722875,0.146263149,0.122179279,0.038461538,0
1.66147E-4,12.258688155,0.1495755,0.120309188,0.038461538,0
1.7088E-4,12.511811269,0.153491397,0.118439097,0.038461538,0
1.75631E-4,12.755702109,0.157404126,0.116693679,0.038461538,0
1.79739E-4,13.004242478,0.160772863,0.114948261,0.038461538,0
1.84385E-4,13.259664322,0.164566339,0.113202843,0.038461538,0
1.8833E-4,13.501454973,0.167774403,0.111582097,0.038461538,0
1.91615E-4,13.76682812,0.170435758,0.109836679,0.038461538,0
1.94848E-4,14.018369158,0.173046859,0.108215933,0.038461538,0
1.98578E-4,14.254832521,0.176049292,0.10671986,0.038461538,0
2.04529E-4,14.516618092,0.180816908,0.105099115,0.038461538,0
2.0975E-4,14.766101316,0.18497739,0.103603042,0.038461538,0
2.15153E-4,15.000796859,0.189260038,0.102231642,0.038461538,0
2.22075E-4,15.263701196,0.194714367,0.100735569,0.038461538,0
2.28357E-4,15.511457033,0.199632568,0.099364169,0.038461538,0
2.32597E-4,15.764868013,0.202934534,0.097992769,0.038461538,0
2.38929E-4,16.001352864,0.207841338,0.096746042,0.038461538,0
2.44807E-4,16.267588621,0.212369004,0.095374642,0.038461538,0
2.46964E-4,16.513369404,0.214023955,0.094127914,0.038461538,0
2.521E-4,16.762789689,0.217950478,0.092881187,0.038461538,0
2.59824E-4,17.018906341,0.223818899,0.09163446,0.038461538,0
2.64395E-4,17.254971018,0.227271082,0.090512405,0.038461538,0
2.70145E-4,17.523145561,0.231591659,0.089265678,0.038461538,0
2.74125E-4,17.768545434,0.234568089,0.088143623,0.038461538,0
2.78987E-4,18.017597024,0.238188133,0.087021568,0.038461538,0
2.83016E-4,18.271065738,0.241175921,0.085899514,0.038461538,0
2.86509E-4,18.52755596,0.243756315,0.084777459,0.038461538,0
2.93922E-4,18.761040833,0.249203331,0.083780077,0.038461538,0
2.99852E-4,19.027446077,0.253532415,0.082658023,0.038461538,0
3.07032E-4,19.271112472,0.258740337,0.081660641,0.038461538,0
3.14548E-4,19.520158622,0.264153195,0.080663259,0.038461538,0
3.19423E-4,19.773648576,0.267643589,0.079665877,0.038461538,0
3.30094E-4,20.001452067,0.275224865,0.078793168,0.076923077,0
3.37398E-4,20.268601605,0.280368222,0.077795786,0.076923077,0
3.40397E-4,20.506072234,0.282469636,0.076923077,0.076923077,0
3.50333E-4,20.78330141,0.28938834,0.075925695,0.076923077,0
3.55574E-4,21.030621793,0.293011122,0.075052986,0.076923077,0
3.63219E-4,21.282032911,0.298261915,0.074180277,0.076923077,0
3.67571E-4,21.501270863,0.301234242,0.07343224,0.076923077,0
3.70694E-4,21.760063595,0.303358766,0.072559531,0.076923077,0
3.77773E-4,22.021904832,0.308151252,0.071686822,0.076923077,0
3.8383E-4,22.250542016,0.312225881,0.070938786,0.076923077,0
3.97806E-4,22.525722585,0.321535665,0.070066077,0.076923077,0
4.05303E-4,22.76706733,0.326477811,0.06931804,0.076923077,0
4.11772E-4,23.012921033,0.330712892,0.068570004,0.076923077,0
4.21899E-4,23.263167332,0.337289738,0.067821967,0.076923077,0
4.25366E-4,23.516964813,0.339526714,0.067073931,0.076923077,0
4.31196E-4,23.773198085,0.343271233,0.066325895,0.076923077,0
4.37601E-4,24.034459149,0.347360184,0.065577858,0.076923077,0
